R238726,R176578
R724499,R483347
R979292,R187894
R382576,R553051
R686987,R105791
R499390,R600874
R630202,R318840
R434055,R599136
R543053,R464990
R129207,R693781
R594172,R200121
R361023,R531703
R797630,R402130
R573882,R141409
R361643,R688523
R670667,R425374
R818585,R312494
R839496,R333339
R358494,R157981
R459101,R866235
R105565,R637610
R759822,R382205
R335632,R190495
R307887,R179213
R993550,R160358
R485997,R631032
R281600,R527481
R824271,R193287
R402124,R758343
R197940,R363476
R676764,R821486
R964581,R135535
R778731,R297903
R112685,R463482
R177798,R814958
R374738,R493546
R451665,R593773
R473990,R143613
R673825,R892613
R296005,R354916
R295425,R446830
R964812,R270681
R420739,R692305
R502378,R545522
R464377,R166709
R806246,R735650
R907105,R517153
R905401,R244138
R332161,R138250
R933416,R272068
R624586,R953142
R507364,R702833
R613473,R598256
R133372,R303303
R501070,R266511
R109879,R511168
R885453,R565454
R320986,R363054
R240087,R151600
R330398,R250724
R544809,R882274
R622639,R430367
R743403,R389029
R674329,R727876
R505524,R482452
R944940,R321177
R789751,R326696
R703174,R775149
R221405,R166729
R532544,R491214
R571119,R139009
R344525,R635080
R576101,R147481
R267025,R781073
R462862,R113251
R892531,R355985
R927012,R669454
R785672,R707764
R890475,R303503
R563687,R443381
R303677,R155966
R230811,R141280
R864009,R217321
R472544,R757887
R946375,R527796
R187279,R861419
R494280,R319078
R836498,R801753
R979128,R634482
R986075,R254268
R347213,R808514
R418742,R200528
R704483,R108917
R458283,R593145
R243128,R463949
R489097,R609126
R347460,R745694
R663085,R765622
R728648,R720736
R423211,R899364
R374376,R709312
R895401,R797629
R501640,R646127
R670929,R615635
R386409,R326566
R234115,R427601
R588545,R297048
R741315,R233760
R796107,R532576
R924120,R622588
R305882,R969674
R461277,R568382
R937230,R708694
R339667,R736963
R291686,R347764
R788926,R619624
R148232,R944107
R959680,R483985
R500314,R771753
R559605,R924680
R330318,R728376
R444870,R396385
R730219,R700243
R195375,R707290
R848668,R618371
R562335,R352940
R932355,R454683
R400351,R773742
R577150,R759409
R207436,R535496
R833622,R135377
R695795,R807418
R719004,R314218
R301055,R628488
R892153,R208489
R607208,R323240
R518554,R553886
R634709,R802089
R153136,R397298
R255388,R616781
R713607,R134168
R508724,R819506
R482518,R925755
R280443,R924544
R245515,R170169
R833372,R883931
R936031,R388633
R500239,R301693
R662413,R482326
R346325,R429077
R940195,R618900
R323366,R965337
R920046,R407719
R902999,R844219
R812890,R221487
R744652,R563112
R968057,R117806
R179374,R861746
R785091,R877497
R402403,R827592
R438757,R214074
R168155,R386508
R622570,R229708
R553709,R672467
R484462,R562054
R113707,R280527
R794050,R279355
R114838,R854509
R411904,R460727
R745285,R731387
R803806,R404832
R869938,R767871
R839244,R641159
R299641,R104551
R246836,R941510
R136915,R410126
R956440,R712136
R676905,R294518
R551022,R916480
R154727,R503067
R341929,R476802
R320671,R992679
R821658,R911987
R843196,R698736
R987772,R526069
R668972,R123678
R422521,R909047
R268202,R400219
R349387,R550692
R852122,R906840
R836802,R333344
R416887,R323768
R392657,R293858
R956613,R238818
R257490,R936044
R623848,R746233
R662741,R818007
R363134,R192200
R471896,R192237
R519689,R487804
R208822,R870948
R910624,R866212
R593283,R201903
R582939,R166462
R277253,R713814
R961455,R733215
R265991,R967913
R231614,R653669
R518536,R371784
R756677,R558018
R996661,R650975
R472894,R387358
R671814,R252398
R219569,R740973
R479474,R915995
R286109,R693293
R524138,R648700
R236711,R771268
R759868,R865247
R657239,R997515
R667065,R662291
R869262,R848726
R240478,R709705
R920513,R225625
R216127,R845122
R860346,R795968
R305890,R856951
R965990,R460053
R342020,R337191
R718419,R204546
R806572,R827164
R938402,R117243
R351190,R101078
R172324,R410007
R730357,R958132
R331318,R910768
R330936,R505868
R429535,R680140
R646597,R554273
R580812,R980554
R683426,R574423
R221197,R710885
R244717,R663915
R779431,R619237
R306512,R787334
R138094,R507566
R400435,R957346
R280723,R184970
R557495,R145269
R186146,R303823
R652247,R512127
R862526,R647710
R837090,R699332
R745287,R466313
R508344,R814459
R322579,R766665
R947510,R282246
R126873,R775147
R361746,R754215
R293527,R352756
R640282,R365209
R970169,R873715
R158867,R153973
R638907,R721853
R670924,R307582
R960762,R255090
R257221,R960701
R130486,R487181
R609041,R796473
R453709,R824015
R346867,R951140
R100460,R284455
R889103,R565928
R779041,R559864
R220724,R513089
R207946,R746624
R226613,R119681
R162150,R878642
R788847,R380971
R372693,R620534
R309790,R788395
R506051,R890900
R225236,R864607
R183154,R406193
R128567,R836663
R684140,R235069
R231985,R797914
R438532,R982397
R200748,R667663
R771221,R717580
R259673,R905809
R829745,R542760
R264488,R171038
R152145,R972044
R530593,R909506
R460496,R293338
R309468,R571933
R851754,R348674
R781322,R261837
R916888,R798775
R565787,R994509
R132051,R149539
R624811,R930606
R251825,R358580
R705456,R459034
R414065,R338311
R720152,R399284
R101770,R279176
R479679,R177842
R626042,R907753
R689174,R570918
R213230,R322163
R544291,R105336
R896100,R907974
R693382,R487053
R151749,R489254
R211050,R818149
R627543,R544616
R268289,R446015
R483096,R224991
R653802,R811828
R250477,R274356
R436918,R709917
R591607,R220317
R344796,R745014
R483531,R928546
R985046,R157321
R812946,R816528
R174914,R851703
R466186,R158518
R647584,R507242
R909178,R207865
R364095,R759109
R337632,R594382
R593870,R626729
R948862,R539596
R132213,R860814
R181223,R327570
R843264,R872199
R887411,R699791
R312532,R620073
R889549,R616802
R991040,R104224
R769402,R606813
R226637,R498403
R437074,R618659
R761133,R878214
R164661,R741538
R945207,R525753
R501656,R917818
R630449,R372584
R218684,R933751
R305339,R647960
R706317,R406361
R252545,R952104
R475325,R452102
R997205,R805797
R373856,R608659
R935459,R667936
R350313,R364025
R285685,R412682
R325101,R653763
R480805,R589956
R397941,R830874
R587510,R826067
R700320,R667750
R488102,R135938
R271839,R877761
R913762,R413450
R791859,R971430
R420874,R552378
R733703,R380156
R761898,R519193
R487906,R533142
R381981,R480760
R544343,R754224
R122227,R359645
R679604,R132963
R186991,R275341
R409639,R994740
R663614,R530395
R842875,R940725
R195971,R624064
R394643,R523239
R197924,R797395
R192299,R119634
R809957,R725229
R928773,R856605
R875991,R845100
R219339,R425070
R661434,R589471
R553086,R969122
R209966,R293046
R162519,R545899
R530702,R530980
R363051,R465865
R785645,R799524
R581679,R260591
R896539,R862712
R209315,R500842
R344735,R629866
R426178,R735460
R301554,R408327
R463761,R774984
R852100,R671020
R182888,R187773
R731066,R123442
R490737,R182595
R585324,R573530
R797958,R287676
R892854,R576802
R376907,R581819
R722131,R414960
R591003,R828480
R772528,R897512
R812432,R744781
R332801,R519774
R397159,R630196
R140676,R838483
R915783,R149462
R261116,R604815
R971928,R314044
R589063,R418618
R853009,R591061
R388198,R383610
R845759,R863768
R613045,R480844
R357653,R312302
R191652,R371622
R529038,R180192
R241811,R841821
R526760,R224386
R531142,R201631
R126600,R905082
R443251,R587762
R919972,R280626
R772790,R518532
R934606,R204267
R566086,R707186
R967895,R761337
R360800,R704363
R361017,R126469
R278425,R744227
R145244,R521870
R723348,R544072
R854604,R503789
R389463,R266014
R387704,R191314
R452493,R652947
R914031,R599584
R672136,R236584
R361573,R617419
R707826,R432278
R201442,R870725
R215194,R116222
R957154,R649714
R468722,R778641
R561895,R359751
R898441,R675181
R319061,R929475
R826308,R938629
R167576,R791164
R185410,R403912
R260167,R686687
R959594,R511420
R408444,R102034
R821376,R740276
R215834,R252626
R624068,R296501
R891273,R288096
R631704,R354214
R982690,R951423
R389830,R792547
R956677,R167023
R985322,R689876
R897001,R801442
R772858,R492388
R792011,R528075
R465531,R376047
R766737,R906194
R318684,R566782
R220131,R167195
R909234,R133162
R340502,R991862
R344742,R778596
R627800,R181766
R854910,R822445
R233590,R528125
R613025,R107217
R574869,R818616
R142903,R590560
R557167,R714787
R138534,R169503
R900999,R397907
R772866,R859724
R701104,R152878
R755286,R731837
R360995,R451502
R511958,R266965
R750732,R334296
R535911,R996313
R441670,R504831
R973711,R141908
R187040,R118895
R680523,R970301
R392851,R325980
R113543,R673286
R478624,R476688
R481246,R741363
R409514,R905933
R799102,R653897
R650917,R410741
R585310,R780529
R667844,R623545
R191264,R751044
R472620,R866871
R973797,R290501
R263718,R677170
R920803,R738633
R791150,R571333
R897833,R491838
R203434,R284173
R124540,R141934
R731679,R139043
R278873,R952914
R719404,R462549
R473853,R476483
R496294,R743871
R707742,R354789
R777255,R916723
R873047,R413076
R593519,R289776
R553944,R486167
R127301,R579613
R690023,R130706
R604272,R124865
R679644,R706478
R692653,R956553
R809856,R748382
R999312,R565386
R322023,R922356
R649214,R808972
R659311,R504713
R643595,R167359
R215855,R438141
R457057,R187765
R220316,R763135
R597119,R776877
R133805,R395450
R817781,R235362
R608849,R401895
R577509,R665236
R598599,R290498
R525956,R530909
R176089,R459029
R359560,R963361
R481187,R943009
R971922,R326403
R466753,R758857
R511830,R410791
R789188,R113181
R280361,R734031
R872645,R673098
R932176,R965946
R332231,R452401
R274771,R578872
R305412,R334154
R705169,R829423
R707499,R836060
R156821,R588904
R288492,R638295
R855234,R269451
R572485,R474802
R551238,R104234
R309909,R927833
R242544,R524136
R591651,R210715
R198223,R893471
R928182,R171110
R490253,R888545
R806469,R409557
R260901,R478396
R425180,R813010
R483978,R389878
R729849,R252000
R568014,R372888
R332022,R306001
R421129,R225057
R934519,R970453
R943107,R497742
R557900,R525548
R929719,R544881
R383258,R976768
R257425,R423563
R423017,R465948
R147516,R746439
R601337,R445177
R910000,R206013
R900535,R666972
R705362,R877086
R375657,R588300
R451524,R643340
R280691,R960622
R103500,R918672
R686801,R929553
R950671,R195461
R420753,R769421
R441881,R668405
R127033,R103326
R245514,R227121
R996296,R202614
R820764,R669083
R409601,R863723
R323631,R706366
R671765,R453312
R285212,R325671
R300156,R473366
R195809,R746000
R147825,R323927
R505657,R378143
R890695,R762622
R110704,R102492
R876490,R690789
R386748,R516732
R775552,R201221
R635991,R867912
R733069,R106348
R826898,R638968
R729957,R639359
R522555,R320496
R470318,R871016
R166201,R662213
R523994,R976003
R841581,R471493
R168053,R318927
R351263,R815915
R542098,R961011
R975662,R778025
R818107,R269045
R154664,R691824
R960535,R511796
R932091,R197873
R275009,R952521
R276487,R557006
R419465,R961699
R988658,R328528
R731124,R828059
R108130,R263122
R498667,R243572
R783276,R863047
R290808,R102883
R690305,R304544
R464326,R690105
R469117,R672945
R648363,R483173
R785363,R543442
R612921,R305976
R264430,R178515
R314555,R790608
R926422,R307747
R905513,R837197
R127223,R507038
R192728,R684001
R647077,R354493
R196823,R833281
R421645,R588566
R520823,R634133
R771618,R613905
R220022,R449431
R632025,R118163
R291253,R729625
R340296,R350959
R645099,R990776
R963314,R856959
R432731,R535491
R688653,R544691
R983992,R664844
R983882,R832318
R159781,R462081
R926868,R287913
R666681,R398955
R671323,R903279
R187143,R499076
R318838,R835717
R226374,R921825
R154133,R831515
R546797,R425841
R850430,R378111
R313919,R449248
R173244,R846025
R683258,R433627
R389347,R689416
R959623,R136873
R786124,R975477
R703548,R572598
R414287,R815043
R314303,R979776
R893569,R843739
R383429,R669209
R484997,R127250
R253357,R676640
R244625,R930772
R658377,R432581
R239365,R982810
R749901,R474380
R101170,R661626
R423565,R884533
R268485,R951388
R843025,R775620
R691127,R477638
R313964,R408865
R952445,R657591
R187342,R522640
R889818,R665541
R105461,R832205
R176310,R139398
R544859,R220693
R148858,R569168
R285196,R844620
R984381,R929055
R856847,R189296
R661244,R968118
R500015,R793496
R960260,R846538
R942329,R684383
R773203,R693970
R740948,R348165
R935429,R299697
R375305,R179807
R513275,R901221
R342849,R430744
R824198,R924397
R916641,R846811
R549963,R918608
R874835,R325877
R241429,R810281
R789831,R220718
R110571,R582967
R814606,R175090
R649265,R904520
R294230,R876305
R108202,R546861
R703408,R395114
R998825,R200660
R512567,R569146
R346438,R165188
R635398,R643241
R450951,R876663
R649070,R553031
R696755,R566698
R459622,R894753
R659381,R661508
R199814,R706694
R413152,R848766
R664085,R762357
R977151,R150212
R923221,R633617
R572323,R573573
R417410,R266687
R969015,R941274
R464398,R509030
R570019,R949746
R856544,R995329
R566335,R932531
R598744,R182147
R769904,R589058
R812942,R892943
R503227,R888455
R538068,R990418
R327216,R606966
R978134,R849347
R878834,R384166
R527653,R350231
R306249,R839188
R929230,R244038
R908058,R753157
R682497,R898987
R264935,R677296
R945635,R583478
R613692,R137886
R180551,R977900
R286456,R430208
R137750,R770797
R460445,R177874
R380518,R174703
R106852,R970500
R243013,R320163
R725936,R561113
R101465,R270093
R343731,R967599
R522814,R513372
R627217,R952041
R488725,R487945
R233566,R309997
R585987,R175643
R893460,R107766
R343466,R904318
R218546,R614267
R314037,R920665
R598591,R440103
R687895,R176722
R639698,R628201
R258450,R105999
R186330,R738359
R689154,R289334
R581049,R700777
R415293,R708520
R156935,R611565
R915626,R167638
R129463,R301081
R727094,R203505
R238161,R403241
R147218,R726947
R795153,R795434
R586674,R302705
R642997,R386335
R220671,R994944
R398637,R164080
R571483,R220524
R958487,R938312
R488909,R427724
R355155,R561023
R899490,R845731
R442439,R907775
R265797,R653918
R513649,R338056
R909704,R208870
R417085,R192079
R172347,R257401
R491823,R508437
R307264,R818374
R526469,R159849
R486678,R743432
R824236,R668373
R211385,R768248
R909937,R409484
R412092,R762608
R226949,R868516
R514980,R644613
R332063,R727707
R618791,R370932
R115990,R886210
R758922,R568387
R129227,R430677
R484383,R818895
R977783,R889445
R104543,R598503
R677486,R252162
R989839,R761530
R896038,R414865
R591017,R497573
R190420,R920481
R333485,R184691
R192755,R192530
R754312,R909950
R726047,R449979
R282034,R269219
R807188,R377812
R845073,R864918
R641848,R558955
R786709,R660196
R738005,R446822
R341796,R520646
R113575,R898743
R462398,R346248
R207504,R716195
R626240,R601434
R113770,R716680
R644004,R254925
R332603,R472545
R220592,R970175
R603870,R759090
R763191,R226324
R628556,R510372
R177239,R863982
R653586,R310419
R231051,R198410
R934725,R709135
R177560,R572321
R366492,R236415
R601527,R605406
R510238,R887445
R723190,R200403
R192072,R739758
R840625,R613466
R951219,R730426
R658137,R800780
R118309,R872964
R516473,R957751
R823391,R504514
R912052,R292589
R759928,R695480
R193559,R169411
R138150,R266938
R663092,R199974
R524558,R604620
R360139,R132119
R151392,R704781
R752652,R716159
R567314,R727295
R469532,R731133
R533849,R853991
R263722,R862383
R245012,R940011
R705348,R646078
R247709,R637342
R993783,R531042
R726761,R738319
R931821,R818836
R639635,R318198
R235675,R911983
R371305,R281030
R487358,R785535
R395107,R738825
R900863,R262910
R280510,R975112
R259118,R787698
R136338,R189820
R654998,R683551
R443289,R643159
R922717,R592963
R300648,R772383
R300356,R951916
R856916,R556169
R590581,R871470
R665228,R666872
R799540,R315328
R154804,R339761
R267399,R296518
R529560,R484956
R764940,R221208
R141051,R810421
R489967,R943508
R301009,R159707
R943004,R100696
R717998,R754337
R676679,R892770
R698475,R175802
R564354,R894179
R118824,R634970
R776108,R406588
R660673,R718982
R462954,R110896
R600396,R339906
R356721,R919128
R398534,R537171
R581616,R100881
R311578,R306883
R466026,R921842
R484561,R150903
R888500,R602389
R374212,R834618
R823562,R338882
R363580,R971192
R644684,R492152
R164911,R103445
R867395,R454176
R746506,R948717
R917851,R947347
R961156,R713571
R629364,R647096
R925617,R824674
R254388,R236864
R395966,R931695
R542981,R545626
R303735,R252608
R454520,R543505
R299110,R412144
R754052,R241752
R862663,R514090
R317439,R972858
R238747,R412064
R415376,R822336
R367718,R664372
R125093,R104495
R893284,R321491
R675821,R597946
R416382,R574632
R670074,R308241
R833358,R425858
R454602,R891806
R973913,R644532
R299431,R141797
R976480,R319158
R536406,R719453
R767149,R486508
R840213,R510130
R771991,R294427
R720275,R869744
R921627,R781718
R265707,R620988
R838816,R299216
R830017,R948949
R296057,R217245
R139373,R845806
R255740,R736551
R901689,R359379
R372136,R838589
R364362,R536867
R484406,R302502
R607773,R347551
R345962,R229852
R241077,R188977
R171548,R899556
R866904,R583910
R577840,R948597
R136127,R318130
R251806,R560051
R167661,R465650
R444735,R419359
R525027,R231164
R424376,R676073
R759285,R149806
R479058,R732195
R845744,R542298
R152892,R903556
R191226,R742185
R152684,R603015
R776274,R807896
R185562,R207074
R154393,R348489
R500921,R382282
R321840,R467595
R512297,R411030
R965961,R408702
R875682,R239810
R853251,R147586
R536977,R323034
R572671,R886838
R386060,R680301
R178109,R416841
R299791,R526770
R672837,R537124
R665422,R581396
R572213,R943202
R973626,R114687
R486760,R198816
R178474,R601710
R194709,R625308
R568096,R555644
R330604,R625658
R995376,R925404
R914042,R742843
R102553,R676672
R388263,R436356
R968346,R344599
R932556,R543963
R190352,R904269
R933230,R335539
R206464,R573912
R648029,R431008
R212289,R695319
R340549,R782097
R141984,R789319
R126892,R626293
R325498,R973217
R682583,R643061
R515987,R936547
R320267,R361639
R716593,R891475
R632354,R788143
R911393,R989656
R303847,R257189
R465879,R111314
R721998,R674146
R393734,R322838
R736358,R897934
R870385,R915959
R698754,R806439
R981092,R314635
R174984,R992667
R622318,R971754
R382479,R904968
R337585,R869058
R668200,R646891
R247838,R668168
R850685,R846666
R507012,R218637
R698779,R965755
R923561,R107702
R156975,R283185
R403064,R534859
R310832,R234817
R341278,R717061
R242671,R891276
R683313,R678254
R908545,R401054
R955848,R307710
R267504,R659113
R783461,R694043
R331218,R702868
R797460,R241766
R484212,R575680
R448719,R795977
R297468,R857321
R659281,R933851
R426422,R964699
R843249,R950220
R425937,R700975
R473199,R584701
R512825,R857407
R283504,R317647
R686819,R781288
R692957,R966465
R141460,R323202
R855031,R989536
R861034,R419375
R342272,R602497
R106535,R522163
R754109,R751610
R230261,R999929
R616732,R694286
R169908,R852825
R248275,R736736
R618354,R392516
R196447,R420399
R277811,R526917
R516446,R620056
R876401,R681036
R573153,R458852
R678408,R175573
R929069,R130222
R895474,R401210
R872033,R384847
R305950,R596824
R226234,R843361
R808266,R516744
R535495,R572853
R122124,R442527
R132873,R816193
R909980,R991142
R858769,R548696
R332155,R994614
R389459,R229792
R222884,R721224
R562144,R495088
R443897,R880778
R183698,R291881
R726422,R884032
R823850,R781217
R209635,R296466
R682542,R306922
R846300,R395051
R168823,R710441
R692062,R225312
R754573,R474177
R324118,R443117
R124686,R916535
R968455,R419135
R153979,R988960
R232680,R567910
R124719,R989831
R270898,R720615
R310979,R261056
R362471,R486553
R662088,R367798
R860377,R782372
R602664,R219307
R743961,R588303
R411595,R719082
R129930,R410616
R792105,R362738
R277910,R475065
R109228,R646451
R550321,R108997
R649209,R141181
R946258,R900591
R927349,R889292
R452935,R982986
R655840,R666971
R469602,R314693
R823742,R333371
R261304,R714582
R632430,R694535
R149525,R866221
R986426,R277434
R264670,R557946
R264445,R204909
R527365,R976532
R224309,R400505
R237704,R295800
R883288,R346596
R322003,R212447
R916076,R863236
R316702,R239170
R665039,R993694
R199593,R834636
R122496,R579692
R573649,R218259
R901112,R535280
R248138,R667328
R871752,R264752
R618650,R527946
R282039,R659509
R713101,R378145
R844695,R699693
R330170,R332475
R109505,R163081
R675818,R966858
R145980,R779931
R547835,R967747
R420851,R654638
R919156,R613251
R927648,R356382
R607116,R357597
R136643,R454883
R384899,R902556
R745964,R668237
R538438,R626978
R465769,R234769
R238696,R861345
R975335,R276152
R684372,R201981
R987443,R819775
R644527,R337823
R127721,R617000
R858669,R161891
R709932,R159193
R830310,R413695
R551081,R700057
R195753,R456730
R982433,R357165
R166780,R727283
R810207,R802570
R782186,R652658
R949670,R774305
R513530,R118846
R772463,R538326
R353278,R912476
R699590,R463717
R438600,R647074
R533448,R847814
R394552,R614521
R565585,R753800
R438325,R834839
R708849,R105654
R755902,R599990
R576516,R880200
R159397,R943920
R682129,R180429
R394736,R622029
R221639,R119669
R810868,R770810
R686665,R710723
R323766,R931381
R929275,R417289
R713094,R135212
R766178,R818882
R722743,R332798
R133377,R679403
R870148,R683794
R233789,R593820
R577528,R505852
R297126,R743138
R858042,R396611
R823447,R470296
R460979,R370644
R739483,R209757
R783099,R926907
R768898,R978372
R836920,R732098
R370366,R943235
R923585,R160035
R401104,R387311
R608525,R157602
R783801,R893489
R919350,R639781
R584793,R362962
R392775,R605472
R689701,R763798
R327187,R609336
R305581,R176734
R545274,R965055
R626474,R920900
R269325,R740735
R643488,R339013
R696436,R240316
R899819,R863965
R852605,R679256
R289216,R577949
R306475,R981896
R256637,R135287
R878338,R429350
R238926,R746823
R587474,R766457
R471434,R582880
R990151,R593653
R592378,R359168
R705191,R741418
R992062,R519453
R661382,R674236
R616808,R263045
R883913,R130037
R876743,R447300
R534163,R765432
R913739,R571963
R318841,R587600
R989058,R377883
R182037,R227643
R975200,R158177
R307187,R852914
R600538,R295545
R601722,R711448
R749596,R647553
R523578,R972515
R414666,R329134
R110901,R839521
R681001,R552972
R905805,R511875
R890613,R448011
R759484,R652301
R763584,R529766
R658553,R332076
R238943,R480042
R748403,R661071
R444908,R653817
R865758,R457210
R661837,R783835
R886425,R131791
R835762,R529531
R565534,R121133
R384046,R344547
R754544,R353609
R129136,R600335
R859775,R725800
R100271,R726472
R787438,R990707
R110339,R286198
R847795,R779605
R542932,R399688
R134634,R581924
R972696,R593159
R332222,R251909
R649509,R880219
R942782,R663434
R987677,R340574
R891883,R795436
R794032,R322366
R327386,R442734
R535886,R200708
R590891,R585874
R281368,R191323
R598791,R615522
R613895,R523745
R950552,R461505
R782420,R128724
R451771,R739582
R952461,R649411
R853249,R566273
R909002,R376136
R670457,R431725
R189002,R312712
R343895,R855760
R737172,R177283
R746915,R340808
R715867,R439621
R220798,R587401
R512513,R723983
R261870,R214677
R809183,R407543
R999662,R294430
R928527,R558866
R819453,R440507
R813743,R357449
R321805,R366879
R875387,R353833
R795187,R814565
R765899,R527269
R815814,R722792
R360842,R372318
R523941,R857978
R881050,R727520
R478487,R631777
R950233,R838934
R172656,R385293
R913408,R593793
R289995,R232710
R926843,R855491
R679010,R454258
R761965,R496120
R259013,R171276
R930323,R896362
R331240,R377865
R449623,R137710
R958775,R953063
R776807,R589482
R727653,R941486
R780676,R465795
R215552,R146537
R235292,R448419
R498512,R858775
R178916,R718644
R756149,R246728
R642458,R788915
R836253,R595057
R322246,R809717
R491631,R917934
R351992,R235070
R933026,R358020
R317332,R389698
R755129,R775059
R404466,R537564
R577795,R589012
R181684,R545189
R608988,R314624
R670763,R551330
R759248,R643873
R529939,R224794
R882930,R304675
R117852,R141003
R329816,R385502
R368551,R701407
R295142,R782533
R283335,R841620
R370446,R388190
R417245,R801402
R511610,R518819
R779156,R673412
R496642,R801244
R466592,R108653
R902185,R328538
R943729,R364981
R580355,R857655
R979157,R690463
R152645,R628865
R520019,R549075
R898229,R757556
R865082,R279571
R572523,R446088
R747424,R753293
R535200,R271519
R615134,R330472
R952145,R903503
R594750,R716430
R153938,R646349
R485342,R299469
R430461,R643438
R478003,R978277
R490226,R264480
R677168,R392482
R319764,R241220
R761039,R918684
R574047,R580514
R434156,R410256
R537532,R428019
R387778,R181645
R269661,R980165
R700156,R587725
R741996,R854426
R530042,R380597
R430577,R483811
R414635,R247792
R420633,R818076
R724060,R871391
R229703,R308855
R349111,R738025
R974689,R832264
R258702,R791361
R832790,R359111
R195868,R476080
